Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH
ATJ,14,SUPERSTART,9/24/2023 11:40:00 PM,JA1-D3-521,,,23000,23000,2100
ATJ,14,BATCHSTART,9/24/2023 11:40:00 PM,MOB-D3-521,,,2500,2500,2100
ATJ,14,BATCHSTOP,9/25/2023 12:51:25 AM,MOB-D3-521,,,0,0,0
ATJ,14,BATCHSTART,9/25/2023 12:51:25 AM,MTV-D3-521,,,2500,2500,2100
ATJ,14,BATCHSTOP,9/25/2023 2:02:51 AM,MTV-D3-521,,,0,0,0
ATJ,14,BATCHSTART,9/25/2023 2:02:51 AM,MXE-D3-521,,,7500,7500,2100
ATJ,14,BATCHSTOP,9/25/2023 5:37:08 AM,MXE-D3-521,,,0,0,0
ATJ,14,BATCHSTART,9/25/2023 5:37:08 AM,BPO-D3-521,,,8000,8000,2100
ATJ,14,BATCHSTOP,9/25/2023 9:25:42 AM,BPO-D3-521,,,0,0,0
ATJ,14,BATCHSTART,9/25/2023 9:25:42 AM,VAL-D3-52D,,,2500,2500,2100
ATJ,14,BATCHSTOP,9/25/2023 10:37:08 AM,VAL-D3-52D,,,0,0,0
ATJ,14,SUPERSTOP,9/25/2023 10:37:08 AM,JA1-D3-521,,,0,0,0
ATJ,14,SUPERSTART,9/25/2023 10:37:08 AM,JA1-62-521,,,54000,54000,2100
ATJ,14,BATCHSTART,9/25/2023 10:37:08 AM,BPO-62-521,,,7000,7000,2100
